stop_name,daytime_routes,division,line,Neighborhood,borough,borocd,poverty_rate,poverty 100,Near poverty,In or near poverty,density,2019  average,2020 average,%increase average,percent increase edit,sum 2019,2020 sum,under18_rate,over65_rate,pct_white_nh,pct_bach_deg,pct_hh_rent_burd,mean_commute,unemployment
174-175 Sts,B D,IND,Concourse,"Morris Heights, Fordham South & Mount Hope",Bx,205,35.6,37.1,36.2,73.3,91571.42857,5175.841096,2223.208333,-0.496767999,-49.68%,1529664,759231,29.1,8.2,1.1,12.3,58.3,43.3,7.3
170 St,B D,IND,Concourse,"Concourse, Highbridge ",Bx,204,32.4,34.7,36.2,70.9,73220.5,7448.131507,2786.330556,-0.542435862,-54.24%,2146688,968792,27.3,9.9,2,15.6,53.9,42,6.3
167 St,B D,IND,Concourse,"Concourse, Highbridge ",Bx,204,32.4,34.7,36.2,70.9,73220.5,7448.131507,2786.330556,-0.501129029,-50.11%,2761113,1381276,27.3,9.9,2,15.6,53.9,42,6.3
Rector St,R W,BMT,Broadway,Battery Park City,M,101,8.8,7.9,6.7,14.6,40652,14598.75342,5420.066667,-0.712423957,-71.24%,2038164,578098,12.7,12.8,72.2,82.2,30.1,25.4,2.8
155 St,B D,IND,Concourse,Central Harlem,M,110,20.2,20.6,24.5,45.1,82659.28571,2977.073973,1308.75,-0.519907535,-51.99%,1145138,542241,20.4,10.4,14.2,38.6,38.6,37.2,6.2
21 St - Queensbridge,F,IND,63rd St,Astoria & Long Island City,Q,401,18.1,16.7,23.3,40,30823.3871,25651.47107,10245.85,-0.614704314,-61.47%,3540717,1345535,14.5,13,48.3,46.4,37.4,40,4.5
Roosevelt Island,F,IND,63rd St,Upper East Side,M,108,7.2,6.3,6.2,12.5,109960,4961.260274,2356.602778,-0.632004042,-63.20%,2389969,867451,14.6,20.8,75.3,80.5,32.5,31.4,2
Lexington Av/63 St,F Q,IND,63rd St,Upper East Side,M,108,7.2,6.3,6.2,12.5,109960,4961.260274,2356.602778,-0.638933914,-63.89%,6616040,2356104,14.6,20.8,75.3,80.5,32.5,31.4,2
57 St,F,IND,6th Av - Culver,Midtown Business Distric,M,105,11.3,11.8,10.1,22,32295.625,3712.825967,1225.022222,-0.67892236,-67.89%,4562723,1444920,8.2,13.4,59.1,74.1,33.9,26.7,3.5
47-50 Sts - Rockefeller Ctr,B D F M,IND,6th Av - Culver,Midtown Business Distric,M,105,11.3,11.8,10.1,22,32295.625,3712.825967,1225.022222,-0.700008843,-70.00%,18672656,5524897,8.2,13.4,59.1,74.1,33.9,26.7,3.5
23 St,F M,IND,6th Av - Culver,"Chelsea, Clinton",M,104,11.3,11.8,10.1,22,57358.33333,12978.71781,4862.4,-0.649584991,-64.96%,8507885,2940451,8.2,13.4,59.1,74.1,33.9,26.7,3.5
Grand St,B D,IND,6th Av - Culver,Chinatown & Lower East Side,M,103,19.3,21.5,27.4,48.8,96045.29412,3085.863014,1290.611111,-0.641950905,-64.20%,8053699,2844118,11.4,17.9,33.3,43.3,38.4,31.3,3.6
2 Av,F,IND,6th Av - Culver,Chinatown & Lower East Side,M,103,19.3,21.5,27.4,48.8,96045.29412,3085.863014,1290.611111,-0.676132203,-67.61%,5625896,1797087,11.4,17.9,33.3,43.3,38.4,31.3,3.6
East Broadway,F,IND,6th Av - Culver,Chinatown & Lower East Side,M,103,19.3,21.5,27.4,48.8,96045.29412,3085.863014,1290.611111,-0.639395349,-63.94%,4482228,1594171,11.4,17.9,33.3,43.3,38.4,31.3,3.6
York St,F,IND,6th Av - Culver,Brooklyn Heights & Fort Greene,Bk,302,11,12,15.8,27.8,35577.5,1364.909589,676.5611111,-0.688214975,-68.82%,3943001,1212528,17.9,10.7,46.4,62.9,31.2,35.2,4.6
Bergen St,F G,IND,6th Av - Culver,Brooklyn Heights & Fort Greene,Bk,302,11,12,15.8,27.8,35577.5,1364.909589,676.5611111,-0.655402469,-65.54%,3579992,1216757,17.9,10.7,46.4,62.9,31.2,35.2,4.6
Carroll St,F G,IND,6th Av - Culver,"Park Slope, Carroll Gardens & Red Hook",Bk,306,9.6,10,8.8,18.9,33777.09677,2843.870523,1338.936111,-0.653929204,-65.39%,3623923,1236954,21.2,10.4,64.1,73,28.8,38.4,4
Smith - 9 Sts,F G,IND,6th Av - Culver,"Park Slope, Carroll Gardens & Red Hook",Bk,306,9.6,10,8.8,18.9,33777.09677,2843.870523,1338.936111,-0.576715164,-57.67%,1451973,606179,21.2,10.4,64.1,73,28.8,38.4,4
7 Av,F G,IND,6th Av - Culver,"Park Slope, Carroll Gardens & Red Hook",Bk,306,9.6,10,8.8,18.9,33777.09677,2843.870523,1338.936111,-0.642472659,-64.25%,3701801,1305365,21.2,10.4,64.1,73,28.8,38.4,4
15 St - Prospect Park,F G,IND,6th Av - Culver,Sunset Park & Windsor Terrace,Bk,307,27.9,23.9,33,56.9,34116.21622,9325.815934,3749.643059,-0.653648966,-65.36%,1980580,676579,24,10.3,24.4,29.6,48.1,42.9,3.8
Fort Hamilton Pkwy,F G,IND,6th Av - Culver,Sunset Park & Windsor Terrace,Bk,307,27.9,23.9,33,56.9,34116.21622,9325.815934,3749.643059,-0.64997022,-65.00%,1809125,624573,24,10.3,24.4,29.6,48.1,42.9,3.8
Church Av,F,IND,6th Av - Culver,"Borough Park, Kensington & Ocean Parkway",Bk,312,27.2,26.1,32.9,59.1,53161.66667,4245.958678,1490.344444,-0.540777461,-54.08%,3130650,1417971,36.8,12.1,71.1,28.5,60.3,36.3,3.2
Ditmas Av,F,IND,6th Av - Culver,"Borough Park, Kensington & Ocean Parkway",Bk,312,27.2,26.1,32.9,59.1,53161.66667,4245.958678,1490.344444,-0.548210416,-54.82%,1185955,531374,36.8,12.1,71.1,28.5,60.3,36.3,3.2
18 Av,F,IND,6th Av - Culver,Flatbush & Midwood,Bk,314,21.5,20.4,26.9,47.3,55401.37931,11533.44932,4322.875,-0.549105736,-54.91%,1126218,500849,25.1,13.1,40.8,38,48.6,42.7,4.4
Avenue I,F,IND,6th Av - Culver,"Borough Park, Kensington & Ocean Parkway",Bk,312,27.2,26.1,32.9,59.1,53161.66667,4245.958678,1490.344444,-0.551601775,-55.16%,592752,262148,36.8,12.1,71.1,28.5,60.3,36.3,3.2
Bay Pkwy,F,IND,6th Av - Culver,"Borough Park, Kensington & Ocean Parkway",Bk,312,27.2,26.1,32.9,59.1,53161.66667,4245.958678,1490.344444,-0.535849354,-53.58%,370360,169548,36.8,12.1,71.1,28.5,60.3,36.3,3.2
Avenue N,F,IND,6th Av - Culver,"Borough Park, Kensington & Ocean Parkway",Bk,312,27.2,26.1,32.9,59.1,53161.66667,4245.958678,1490.344444,-0.550866977,-55.09%,890450,394452,36.8,12.1,71.1,28.5,60.3,36.3,3.2
Avenue P,F,IND,6th Av - Culver,"Sheepshead Bay, Gerritsen Beach & Homecrest",Bk,315,18.6,17.5,25.4,42.9,33968.08511,3830.142466,1614.866667,-0.550036665,-55.00%,751087,333332,22,18.3,65.5,40.2,47,46.3,3.7
Kings Hwy,F,IND,6th Av - Culver,"Sheepshead Bay, Gerritsen Beach & Homecrest",Bk,315,18.6,17.5,25.4,42.9,33968.08511,3830.142466,1614.866667,-0.563041185,-56.30%,1139693,491177,22,18.3,65.5,40.2,47,46.3,3.7
Avenue U,F,IND,6th Av - Culver,"Sheepshead Bay, Gerritsen Beach & Homecrest",Bk,315,18.6,17.5,25.4,42.9,33968.08511,3830.142466,1614.866667,-0.546888366,-54.69%,559173,249897,22,18.3,65.5,40.2,47,46.3,3.7
Avenue X,F,IND,6th Av - Culver,"Sheepshead Bay, Gerritsen Beach & Homecrest",Bk,315,18.6,17.5,25.4,42.9,33968.08511,3830.142466,1614.866667,-0.553990393,-55.40%,811414,359899,22,18.3,65.5,40.2,47,46.3,3.7
Neptune Av,F,IND,6th Av - Culver,Brighton Beach & Coney Island,Bk,313,24.4,25.1,28.9,54,32586.875,9381.605479,3532.3,-0.566242292,-56.62%,438815,187732,19.9,23.9,55.9,38.6,45.2,46.8,4.5
Jamaica - 179 St,F,IND,Queens Blvd,"Briarwood, Fresh Meadows & Hillcrest",Q,408,20.8,18.9,23.5,42.4,20419.86486,14992.43014,4104.263889,-0.560810685,-56.08%,6412994,2777936,20.6,14.9,29.9,39.6,47.5,44,5.2
169 St,F,IND,Queens Blvd,"Briarwood, Fresh Meadows & Hillcrest",Q,408,20.8,18.9,23.5,42.4,20419.86486,14992.43014,4104.263889,-0.573529304,-57.35%,2495037,1049484,20.6,14.9,29.9,39.6,47.5,44,5.2
Parsons Blvd,F,IND,Queens Blvd,"Briarwood, Fresh Meadows & Hillcrest",Q,408,20.8,18.9,23.5,42.4,20419.86486,14992.43014,4104.263889,-0.475485432,-47.55%,2134172,1104070,20.6,14.9,29.9,39.6,47.5,44,5.2
Sutphin Blvd,F,IND,Queens Blvd,"Jamaica, Hollis & St Albans",Q,412,19,17.1,27.2,44.3,23533.22917,20019.55068,6161.130556,-0.485642851,-48.56%,1371971,699851,22.4,13.3,1.8,21.4,46.9,49,5.9
Briarwood - Van Wyck Blvd,E F,IND,Queens Blvd,Richmond Hill & Woodhaven,Q,409,21.5,19.6,24.7,44.3,37715,7818.558904,2404.733146,-0.589029486,-58.90%,1523560,617561,21.8,12.1,18,27,47.7,46.5,4.2
Kew Gardens - Union Tpke,E F,IND,Queens Blvd,Forest Hills & Rego Park,Q,406,15.1,13.8,15.9,29.7,37752.33333,8872.90137,3094.355556,-0.601150339,-60.12%,7760953,3053050,17.2,20.5,47.7,57.2,42.4,43.8,2.8
DeKalb Av,B Q R,BMT,Broadway - Brighton,Brooklyn Heights & Fort Greene,Bk,302,11,12,15.8,27.8,35577.5,1364.909589,676.5611111,-0.637833717,-63.78%,6800460,2429159,17.9,10.7,46.4,62.9,31.2,35.2,4.6
75 Av,E F,IND,Queens Blvd,Forest Hills & Rego Park,Q,406,15.1,13.8,15.9,29.7,37752.33333,8872.90137,3094.355556,-0.633089849,-63.31%,1071219,387657,17.2,20.5,47.7,57.2,42.4,43.8,2.8
Forest Hills - 71 Av,E F M R,IND,Queens Blvd,Forest Hills & Rego Park,Q,406,15.1,13.8,15.9,29.7,37752.33333,8872.90137,3094.355556,-0.609854009,-60.99%,8203876,3156864,17.2,20.5,47.7,57.2,42.4,43.8,2.8
67 Av,M R,IND,Queens Blvd,Forest Hills & Rego Park,Q,406,15.1,13.8,15.9,29.7,37752.33333,8872.90137,3094.355556,-0.618555265,-61.86%,2672791,1005556,17.2,20.5,47.7,57.2,42.4,43.8,2.8
63 Dr - Rego Park,M R,IND,Queens Blvd,Forest Hills & Rego Park,Q,406,15.1,13.8,15.9,29.7,37752.33333,8872.90137,3094.355556,-0.596188243,-59.62%,4799434,1911519,17.2,20.5,47.7,57.2,42.4,43.8,2.8
Woodhaven Blvd,M R,IND,Queens Blvd,Elmhurst & South Corona,Q,404,25.6,23.2,36.8,60,71915.83333,4135.219178,1516.438889,-0.595297179,-59.53%,6435023,2568597,22.6,12.1,6.2,22.1,54.7,43.7,3.1
Grand Av - Newtown,M R,IND,Queens Blvd,Elmhurst & South Corona,Q,404,25.6,23.2,36.8,60,71915.83333,4135.219178,1516.438889,-0.590701663,-59.07%,5765499,2327483,22.6,12.1,6.2,22.1,54.7,43.7,3.1
Elmhurst Av,M R,IND,Queens Blvd,Elmhurst & South Corona,Q,404,25.6,23.2,36.8,60,71915.83333,4135.219178,1516.438889,-0.569740127,-56.97%,3890527,1651007,22.6,12.1,6.2,22.1,54.7,43.7,3.1
65 St,M R,IND,Queens Blvd,Sunnyside & Woodside,Q,402,18.8,14.8,28,42.8,22640,6330.690411,2364.655556,-0.583894798,-58.39%,1106877,454268,16.8,12.5,28.9,39.9,42.7,37.5,2.9
Northern Blvd,M R,IND,Queens Blvd,Sunnyside & Woodside,Q,402,18.8,14.8,28,42.8,22640,6330.690411,2364.655556,-0.558938676,-55.89%,2044833,889542,16.8,12.5,28.9,39.9,42.7,37.5,2.9
46 St,M R,IND,Queens Blvd,Astoria & Long Island City,Q,401,18.1,16.7,23.3,40,30823.3871,25651.47107,10245.85,-0.607398236,-60.74%,2625227,1016550,14.5,13,48.3,46.4,37.4,40,4.5
Steinway St,M R,IND,Queens Blvd,Astoria & Long Island City,Q,401,18.1,16.7,23.3,40,30823.3871,25651.47107,10245.85,-0.635322806,-63.53%,4737045,1703828,14.5,13,48.3,46.4,37.4,40,4.5
36 St,M R,IND,Queens Blvd,Astoria & Long Island City,Q,401,18.1,16.7,23.3,40,30823.3871,25651.47107,10245.85,-0.665120728,-66.51%,1437796,476197,14.5,13,48.3,46.4,37.4,40,4.5
Queens Plaza,E M R,IND,Queens Blvd,Sunnyside & Woodside,Q,402,18.8,14.8,28,42.8,22640,6330.690411,2364.655556,-0.675939829,-67.59%,4419838,1412673,16.8,12.5,28.9,39.9,42.7,37.5,2.9
5 Av/53 St,E M,IND,Queens Blvd,Midtown Business Distric,M,105,11.3,11.8,10.1,22,32295.625,3712.825967,1225.022222,-0.732651635,-73.27%,7717397,2034970,8.2,13.4,59.1,74.1,33.9,26.7,3.5
7 Av,B D E,IND,Queens Blvd,Midtown Business Distric,M,105,11.3,11.8,10.1,22,32295.625,3712.825967,1225.022222,-0.728878533,-72.89%,5574545,1490675,8.2,13.4,59.1,74.1,33.9,26.7,3.5
Jamaica Center - Parsons/Archer,E J Z,IND,Queens - Archer,"Jamaica, Hollis & St Albans",Q,412,19,17.1,27.2,44.3,23533.22917,20019.55068,6161.130556,-0.690397031,-69.04%,14521900,4434434,22.4,13.3,1.8,21.4,46.9,49,5.9
Sutphin Blvd - Archer Av - JFK Airport,E J Z,IND,Queens - Archer,"Jamaica, Hollis & St Albans",Q,412,19,17.1,27.2,44.3,23533.22917,20019.55068,6161.130556,-0.606987904,-60.70%,7454991,2889766,22.4,13.3,1.8,21.4,46.9,49,5.9
Union St,R,BMT,4th Av,"Park Slope, Carroll Gardens & Red Hook",Bk,306,9.6,10,8.8,18.9,33777.09677,2843.870523,1338.936111,-0.642848141,-64.28%,2294846,808381,21.2,10.4,64.1,73,28.8,38.4,4
Jamaica - Van Wyck,E,IND,Queens - Archer,Richmond Hill & Woodhaven,Q,409,21.5,19.6,24.7,44.3,37715,7818.558904,2404.733146,-0.431215554,-43.12%,1426653,798119,21.8,12.1,18,27,47.7,46.5,4.2
21 St,G,IND,Crosstown,Sunnyside & Woodside,Q,402,18.8,14.8,28,42.8,22640,6330.690411,2364.655556,-0.563334388,-56.33%,543712,234168,16.8,12.5,28.9,39.9,42.7,37.5,2.9
Greenpoint Av,G,IND,Crosstown,Greenpoint & Williamsburg,Bk,301,15.5,15.4,27,42.5,36826.17021,1670.775342,814.9472222,-0.581975319,-58.20%,3107694,1281297,22,9.6,63,49.6,40.2,34.5,3.7
Nassau Av,G,IND,Crosstown,Greenpoint & Williamsburg,Bk,301,15.5,15.4,27,42.5,36826.17021,1670.775342,814.9472222,-0.622651965,-62.27%,3147070,1171273,22,9.6,63,49.6,40.2,34.5,3.7
Broadway,G,IND,Crosstown,Greenpoint & Williamsburg,Bk,301,15.5,15.4,27,42.5,36826.17021,1670.775342,814.9472222,-0.516365456,-51.64%,1527473,728619,22,9.6,63,49.6,40.2,34.5,3.7
Flushing Av,G,IND,Crosstown,Greenpoint & Williamsburg,Bk,301,15.5,15.4,27,42.5,36826.17021,1670.775342,814.9472222,-0.454408527,-45.44%,739435,397903,22,9.6,63,49.6,40.2,34.5,3.7
Myrtle - Willoughby Avs,G,IND,Crosstown,Bedford-Stuyvesant,Bk,303,21.2,21.6,29.6,51.3,52753.44828,2920.580822,1350.863889,-0.567218846,-56.72%,1837346,784276,25.3,10.1,26,33.8,45.1,41.8,5.7
Bedford - Nostrand Avs,G,IND,Crosstown,Bedford-Stuyvesant,Bk,303,21.2,21.6,29.6,51.3,52753.44828,2920.580822,1350.863889,-0.62051023,-62.05%,2817052,1054398,25.3,10.1,26,33.8,45.1,41.8,5.7
Classon Av,G,IND,Crosstown,Brooklyn Heights & Fort Greene,Bk,302,11,12,15.8,27.8,35577.5,1364.909589,676.5611111,-0.613516757,-61.35%,1740743,663552,17.9,10.7,46.4,62.9,31.2,35.2,4.6
Clinton - Washington Avs,G,IND,Crosstown,Brooklyn Heights & Fort Greene,Bk,302,11,12,15.8,27.8,35577.5,1364.909589,676.5611111,-0.643843939,-64.38%,1626200,571247,17.9,10.7,46.4,62.9,31.2,35.2,4.6
Fulton St,G,IND,Crosstown,Brooklyn Heights & Fort Greene,Bk,302,11,12,15.8,27.8,35577.5,1364.909589,676.5611111,-0.580558185,-58.06%,1791876,741292,17.9,10.7,46.4,62.9,31.2,35.2,4.6
Van Cortlandt Park - 242 St,1,IRT,Broadway - 7Av,"Riverdale, Fieldston & Kingsbridge",Bx,208,15.8,18.6,24.5,43.1,30827.57576,6158.317808,2452.725,-0.557870592,-55.79%,2249005,980730,21.1,19,32.3,40.3,46.6,46.2,5
238 St,1,IRT,Broadway - 7Av,"Riverdale, Fieldston & Kingsbridge",Bx,208,15.8,18.6,24.5,43.1,30827.57576,6158.317808,2452.725,-0.53976123,-53.98%,1227438,557176,21.1,19,32.3,40.3,46.6,46.2,5
231 St,1,IRT,Broadway - 7Av,"Riverdale, Fieldston & Kingsbridge",Bx,208,15.8,18.6,24.5,43.1,30827.57576,6158.317808,2452.725,-0.578961056,-57.90%,2944480,1222758,21.1,19,32.3,40.3,46.6,46.2,5
Marble Hill - 225 St,1,IRT,Broadway - 7Av,"Washington Heights, Inwood & Marble Hill",M,112,19.6,19.5,28.9,48.3,67864.28571,4083.292818,1610.369444,-0.544569936,-54.46%,1582593,710887,17.4,14.1,18.9,33.3,43.4,41.2,6.1
215 St,1,IRT,Broadway - 7Av,"Washington Heights, Inwood & Marble Hill",M,112,19.6,19.5,28.9,48.3,67864.28571,4083.292818,1610.369444,-0.598599365,-59.86%,558582,217458,17.4,14.1,18.9,33.3,43.4,41.2,6.1
207 St,1,IRT,Broadway - 7Av,"Washington Heights, Inwood & Marble Hill",M,112,19.6,19.5,28.9,48.3,67864.28571,4083.292818,1610.369444,-0.535829179,-53.58%,1911570,879962,17.4,14.1,18.9,33.3,43.4,41.2,6.1
Dyckman St,1,IRT,Broadway - 7Av,"Washington Heights, Inwood & Marble Hill",M,112,19.6,19.5,28.9,48.3,67864.28571,4083.292818,1610.369444,-0.515397387,-51.54%,2096613,1002106,17.4,14.1,18.9,33.3,43.4,41.2,6.1
30 Av,N W,BMT,Astoria,Astoria & Long Island City,Q,401,18.1,16.7,23.3,40,30823.3871,25651.47107,10245.85,-0.674975693,-67.50%,5251409,1678778,14.5,13,48.3,46.4,37.4,40,4.5
Prospect Av,R,BMT,4th Av,Sunset Park & Windsor Terrace,Bk,307,27.9,23.9,33,56.9,34116.21622,9325.815934,3749.643059,-0.619777358,-61.98%,1789122,670946,24,10.3,24.4,29.6,48.1,42.9,3.8
191 St,1,IRT,Broadway - 7Av,"Washington Heights, Inwood & Marble Hill",M,112,19.6,19.5,28.9,48.3,67864.28571,4083.292818,1610.369444,-0.820062619,-82.01%,2340486,416513,17.4,14.1,18.9,33.3,43.4,41.2,6.1
181 St,1,IRT,Broadway - 7Av,"Washington Heights, Inwood & Marble Hill",M,112,19.6,19.5,28.9,48.3,67864.28571,4083.292818,1610.369444,-0.510805618,-51.08%,3555238,1620079,17.4,14.1,18.9,33.3,43.4,41.2,6.1
157 St,1,IRT,Broadway - 7Av,"Washington Heights, Inwood & Marble Hill",M,112,19.6,19.5,28.9,48.3,67864.28571,4083.292818,1610.369444,-0.643440504,-64.34%,3770810,1307682,17.4,14.1,18.9,33.3,43.4,41.2,6.1
145 St,1,IRT,Broadway - 7Av,"Hamilton Hts, Manhattanville & West Harlem",M,109,20.7,20.2,25.8,46,73462,3623.339726,1691.225,-0.594774592,-59.48%,2964761,1184939,15.1,12.4,27.6,45.4,45.1,36.5,3.8
137 St - City College,1,IRT,Broadway - 7Av,"Hamilton Hts, Manhattanville & West Harlem",M,109,20.7,20.2,25.8,46,73462,3623.339726,1691.225,-0.576130563,-57.61%,3923234,1640159,15.1,12.4,27.6,45.4,45.1,36.5,3.8
125 St,1,IRT,Broadway - 7Av,"Hamilton Hts, Manhattanville & West Harlem",M,109,20.7,20.2,25.8,46,73462,3623.339726,1691.225,-0.616248855,-61.62%,2390192,904674,15.1,12.4,27.6,45.4,45.1,36.5,3.8
116 St - Columbia University,1,IRT,Broadway - 7Av,"Hamilton Hts, Manhattanville & West Harlem",M,109,20.7,20.2,25.8,46,73462,3623.339726,1691.225,-0.723813001,-72.38%,4385955,1194750,15.1,12.4,27.6,45.4,45.1,36.5,3.8
Cathedral Pkwy,1,IRT,Broadway - 7Av,Upper West Side & West Side,M,107,9.2,9.2,8.9,18.1,110044.2105,3063.172603,1455.686111,-0.640407205,-64.04%,3711559,1316367,15.5,20.6,68,77,31.4,32.2,3.3
103 St,1,IRT,Broadway - 7Av,Upper West Side & West Side,M,107,9.2,9.2,8.9,18.1,110044.2105,3063.172603,1455.686111,-0.630482854,-63.05%,3780110,1377681,15.5,20.6,68,77,31.4,32.2,3.3
25 St,R,BMT,4th Av,Sunset Park & Windsor Terrace,Bk,307,27.9,23.9,33,56.9,34116.21622,9325.815934,3749.643059,-0.558553609,-55.86%,1171626,510125,24,10.3,24.4,29.6,48.1,42.9,3.8
96 St,1 2 3,IRT,Broadway - 7Av,Upper West Side & West Side,M,107,9.2,9.2,8.9,18.1,110044.2105,3063.172603,1455.686111,-0.64924632,-64.92%,11695611,4046083,15.5,20.6,68,77,31.4,32.2,3.3
86 St,1,IRT,Broadway - 7Av,Upper West Side & West Side,M,107,9.2,9.2,8.9,18.1,110044.2105,3063.172603,1455.686111,-0.652930359,-65.29%,5684748,1945976,15.5,20.6,68,77,31.4,32.2,3.3
79 St,1,IRT,Broadway - 7Av,Upper West Side & West Side,M,107,9.2,9.2,8.9,18.1,110044.2105,3063.172603,1455.686111,-0.668152176,-66.82%,4775532,1563041,15.5,20.6,68,77,31.4,32.2,3.3
72 St,1 2 3,IRT,Broadway - 7Av,Upper West Side & West Side,M,107,9.2,9.2,8.9,18.1,110044.2105,3063.172603,1455.686111,-0.66006109,-66.01%,12416880,4163159,15.5,20.6,68,77,31.4,32.2,3.3
66 St - Lincoln Center,1,IRT,Broadway - 7Av,Upper West Side & West Side,M,107,9.2,9.2,8.9,18.1,110044.2105,3063.172603,1455.686111,-0.713361882,-71.34%,7083251,2002517,15.5,20.6,68,77,31.4,32.2,3.3
50 St,1,IRT,Broadway - 7Av,Midtown Business Distric,M,105,11.3,11.8,10.1,22,32295.625,3712.825967,1225.022222,-0.744831805,-74.48%,8169379,2056010,8.2,13.4,59.1,74.1,33.9,26.7,3.5
34 St - Penn Station,1 2 3,IRT,Broadway - 7Av,Midtown Business Distric,M,105,11.3,11.8,10.1,22,32295.625,3712.825967,1225.022222,-0.275148379,-27.51%,10711039,7657559,8.2,13.4,59.1,74.1,33.9,26.7,3.5
28 St,1,IRT,Broadway - 7Av,Midtown Business Distric,M,105,11.3,11.8,10.1,22,32295.625,3712.825967,1225.022222,-0.711852601,-71.19%,4512974,1282588,8.2,13.4,59.1,74.1,33.9,26.7,3.5
36 St,D N R,BMT,4th Av,Sunset Park & Windsor Terrace,Bk,307,27.9,23.9,33,56.9,34116.21622,9325.815934,3749.643059,-0.547587955,-54.76%,4329829,1932033,24,10.3,24.4,29.6,48.1,42.9,3.8
23 St,1,IRT,Broadway - 7Av,"Chelsea, Clinton",M,104,11.3,11.8,10.1,22,57358.33333,12978.71781,4862.4,-0.682243784,-68.22%,4649704,1457233,8.2,13.4,59.1,74.1,33.9,26.7,3.5
18 St,1,IRT,Broadway - 7Av,"Chelsea, Clinton",M,104,11.3,11.8,10.1,22,57358.33333,12978.71781,4862.4,-0.717688598,-71.77%,2658266,742212,8.2,13.4,59.1,74.1,33.9,26.7,3.5
Christopher St - Sheridan Sq,1,IRT,Broadway - 7Av,"Greenwich Village, Soho",M,102,8.8,7.9,6.7,14.6,64297.14286,#DIV/0!,5298.277778,-0.711915366,-71.19%,3433793,975672,12.7,12.8,72.2,82.2,30.1,25.4,2.8
Houston St,1,IRT,Broadway - 7Av,"Greenwich Village, Soho",M,102,8.8,7.9,6.7,14.6,64297.14286,#DIV/0!,5298.277778,-0.712068015,-71.21%,4513727,1281843,12.7,12.8,72.2,82.2,30.1,25.4,2.8
